Date,Open,High,Low,Close,Adj Close,Volume
2015-12-17,13.885000,13.885000,13.683000,13.683000,13.683000,22
2015-12-18,13.820000,14.160000,13.820000,14.080000,14.080000,150
2015-12-20,null,null,null,null,null,null
2015-12-21,14.105000,14.301000,14.105000,14.301000,14.301000,20
2015-12-22,14.225000,14.380000,14.225000,14.302000,14.302000,19
2015-12-23,14.300000,14.300000,14.240000,14.277000,14.277000,35
2015-12-24,14.365000,14.369000,14.365000,14.369000,14.369000,71
2015-12-27,null,null,null,null,null,null
2015-12-28,14.035000,14.035000,13.855000,13.873000,13.873000,4
2015-12-29,14.020000,14.020000,13.917000,13.917000,13.917000,10
2015-12-30,13.925000,13.925000,13.745000,13.814000,13.814000,108
2015-12-31,13.775000,13.775000,13.775000,13.775000,13.775000,106
2016-01-03,null,null,null,null,null,null
2016-01-04,14.100000,14.100000,13.817000,13.817000,13.817000,13
2016-01-05,13.949000,13.949000,13.949000,13.949000,13.949000,27
2016-01-06,14.000000,14.065000,13.957000,13.957000,13.957000,4
2016-01-07,14.335000,14.340000,14.330000,14.335000,14.335000,105
2016-01-08,14.060000,14.060000,13.908000,13.908000,13.908000,286
2016-01-10,null,null,null,null,null,null
2016-01-11,13.950000,14.010000,13.855000,13.855000,13.855000,6
2016-01-12,13.860000,13.860000,13.710000,13.740000,13.740000,17
2016-01-13,13.850000,14.145000,13.850000,14.145000,14.145000,15
2016-01-14,13.737000,13.737000,13.737000,13.737000,13.737000,17
2016-01-15,13.884000,13.884000,13.884000,13.884000,13.884000,1
2016-01-17,null,null,null,null,null,null
2016-01-18,null,null,null,null,null,null
2016-01-19,14.065000,14.110000,14.065000,14.110000,14.110000,0
2016-01-20,14.147000,14.147000,14.147000,14.147000,14.147000,3
2016-01-21,14.083000,14.083000,14.083000,14.083000,14.083000,1
2016-01-22,14.290000,14.290000,14.043000,14.043000,14.043000,2
2016-01-24,null,null,null,null,null,null
2016-01-25,14.095000,14.240000,14.095000,14.240000,14.240000,7
2016-01-26,14.385000,14.544000,14.385000,14.544000,14.544000,8
2016-01-27,14.440000,14.440000,14.440000,14.440000,14.440000,1
2016-01-28,14.355000,14.355000,14.215000,14.216000,14.216000,53
2016-01-29,14.229000,14.265000,14.229000,14.229000,14.229000,27
2016-01-31,null,null,null,null,null,null
2016-02-01,14.245000,14.370000,14.235000,14.329000,14.329000,27
2016-02-02,14.260000,14.276000,14.255000,14.276000,14.276000,9
2016-02-03,14.400000,14.775000,14.400000,14.720000,14.720000,2
2016-02-04,14.765000,14.900000,14.735000,14.836000,14.836000,47
2016-02-05,14.860000,14.900000,14.725000,14.764000,14.764000,23
2016-02-07,null,null,null,null,null,null
2016-02-08,14.910000,15.420000,14.910000,15.416000,15.416000,7
2016-02-09,15.390000,15.444000,15.340000,15.444000,15.444000,62
2016-02-10,15.277000,15.300000,15.277000,15.277000,15.277000,18
2016-02-11,15.300000,15.789000,15.300000,15.789000,15.789000,3
2016-02-12,15.730000,15.785000,15.730000,15.785000,15.785000,58
2016-02-14,null,null,null,null,null,null
2016-02-15,null,null,null,null,null,null
2016-02-16,15.385000,15.385000,15.329000,15.329000,15.329000,2
2016-02-17,15.372000,15.372000,15.372000,15.372000,15.372000,7
2016-02-18,15.427000,15.427000,15.427000,15.427000,15.427000,0
2016-02-19,15.368000,15.368000,15.368000,15.368000,15.368000,0
2016-02-21,null,null,null,null,null,null
2016-02-22,15.179000,15.179000,15.179000,15.179000,15.179000,1
2016-02-23,15.235000,15.235000,15.235000,15.235000,15.235000,1
2016-02-24,15.292000,15.292000,15.292000,15.292000,15.292000,0
2016-02-25,15.185000,15.185000,15.165000,15.165000,15.165000,1
2016-02-26,15.135000,15.230000,14.675000,14.689000,14.689000,68976
2016-02-28,null,null,null,null,null,null
2016-02-29,14.735000,14.925000,14.610000,14.896000,14.896000,23335
2016-03-01,14.925000,15.040000,14.725000,14.733000,14.733000,1598
2016-03-02,14.810000,15.003000,14.760000,15.003000,15.003000,921
2016-03-03,14.945000,15.330000,14.920000,15.131000,15.131000,809
2016-03-04,15.220000,15.780000,15.140000,15.681000,15.681000,678
2016-03-06,null,null,null,null,null,null
2016-03-07,15.570000,15.795000,15.525000,15.623000,15.623000,912
2016-03-08,15.710000,15.750000,15.365000,15.384000,15.384000,933
2016-03-09,15.385000,15.395000,15.195000,15.355000,15.355000,906
2016-03-10,15.315000,15.625000,15.175000,15.546000,15.546000,163
2016-03-11,15.605000,15.660000,15.550000,15.607000,15.607000,571
2016-03-13,null,null,null,null,null,null
2016-03-14,15.550000,15.800000,15.370000,15.518000,15.518000,379
2016-03-15,15.385000,15.410000,15.245000,15.255000,15.255000,276
2016-03-16,15.270000,15.660000,15.214000,15.214000,15.214000,259
2016-03-17,15.630000,16.035000,15.595000,16.021999,16.021999,167
2016-03-18,16.084999,16.150000,15.806000,15.806000,15.806000,382
2016-03-20,null,null,null,null,null,null
2016-03-21,15.795000,15.860000,15.750000,15.841000,15.841000,118
2016-03-22,15.950000,15.955000,15.845000,15.877000,15.877000,21
2016-03-23,15.500000,15.500000,15.255000,15.263000,15.263000,45
2016-03-24,15.290000,15.315000,15.180000,15.191000,15.191000,215
2016-03-27,null,null,null,null,null,null
2016-03-28,15.180000,15.325000,15.180000,15.194000,15.194000,73
2016-03-29,15.115000,15.237000,15.115000,15.237000,15.237000,91
2016-03-30,15.365000,15.365000,15.206000,15.206000,15.206000,60
2016-03-31,15.420000,15.460000,15.420000,15.460000,15.460000,36
2016-04-01,15.042000,15.042000,15.042000,15.042000,15.042000,39
2016-04-03,null,null,null,null,null,null
2016-04-04,15.020000,15.020000,14.942000,14.942000,14.942000,4
2016-04-05,15.114000,15.114000,15.114000,15.114000,15.114000,4
2016-04-06,15.052000,15.052000,15.052000,15.052000,15.052000,8
2016-04-07,15.156000,15.156000,15.156000,15.156000,15.156000,12
2016-04-08,15.382000,15.382000,15.382000,15.382000,15.382000,12
2016-04-10,null,null,null,null,null,null
2016-04-11,15.470000,15.974000,15.470000,15.974000,15.974000,14
2016-04-12,15.960000,16.219999,15.960000,16.219999,16.219999,14
2016-04-13,16.125000,16.323000,16.125000,16.323000,16.323000,7
2016-04-14,16.065001,16.190001,16.065001,16.169001,16.169001,4
2016-04-15,16.240000,16.309000,16.165001,16.309000,16.309000,2
2016-04-17,null,null,null,null,null,null
2016-04-18,16.215000,16.249001,16.215000,16.249001,16.249001,35
2016-04-19,16.968000,16.968000,16.968000,16.968000,16.968000,4
2016-04-20,16.965000,17.131001,16.940001,17.131001,17.131001,2
2016-04-21,17.086000,17.086000,17.086000,17.086000,17.086000,2
2016-04-22,16.896000,16.896000,16.896000,16.896000,16.896000,0
2016-04-24,null,null,null,null,null,null
2016-04-25,17.004999,17.004999,17.004999,17.004999,17.004999,7
2016-04-26,17.106001,17.106001,17.106001,17.106001,17.106001,1
2016-04-27,17.285999,17.285999,17.285999,17.285999,17.285999,2
2016-04-28,17.230000,17.655001,17.139999,17.552999,17.552999,75957
2016-04-29,17.590000,17.990000,17.590000,17.789000,17.789000,24298
2016-05-01,null,null,null,null,null,null
2016-05-02,17.850000,18.030001,17.520000,17.656000,17.656000,4872
2016-05-03,17.584999,17.730000,17.360001,17.474001,17.474001,1122
2016-05-04,17.475000,17.475000,17.200001,17.277000,17.277000,452
